state_code,state_description,country_code
AL,ALABAMA,US
AK,ALASKA,US
AZ,ARIZONA,US
AR,ARKANSAS,US
CA,CALIFORNIA,US
CO,COLORADO,US
CT,CONNECTICUT,US
DE,DELAWARE,US
DC,DIST. OF COLUMBIA,US
FL,FLORIDA,US
GA,GEORGIA,US
GU,GUAM,US
HI,HAWAII,US
ID,IDAHO,US
IL,ILLINOIS,US
IN,INDIANA,US
IA,IOWA,US
KS,KANSAS,US
KY,KENTUCKY,US
LA,LOUISIANA,US
ME,MAINE,US
MD,MARYLAND,US
MA,MASSACHUSETTS,US
MI,MICHIGAN,US
MN,MINNESOTA,US
MS,MISSISSIPPI,US
MO,MISSOURI,US
MT,MONTANA,US
NC,N. CAROLINA,US
ND,N. DAKOTA,US
NE,NEBRASKA,US
NV,NEVADA,US
NH,NEW HAMPSHIRE,US
NJ,NEW JERSEY,US
NM,NEW MEXICO,US
NY,NEW YORK,US
OH,OHIO,US
OK,OKLAHOMA,US
OR,OREGON,US
PA,PENNSYLVANIA,US
PR,PUERTO RICO,US
RI,RHODE ISLAND,US
SC,S. CAROLINA,US
SD,S. DAKOTA,US
TN,TENNESSEE,US
TX,TEXAS,US
UT,UTAH,US
VT,VERMONT,US
VI,VIRGIN ISLANDS,US
VA,VIRGINIA,US
WV,W. VIRGINIA,US
WA,WASHINGTON,US
WI,WISCONSON,US
WY,WYOMING,US
OTHER,All Other Codes,
